"#";"Name";"Manufacturer";"Quantity"
"1";"3pin5mm";"";"1"
"2";"3002";"Keystone";"1"
"3";"CAP_0805";"";"14"
"4";"EEKYA160ELL472ML25S";"United Chemi-Con";"1"
"5";"CAP_1210";"";"1"
"6";"DIODE";"";"2"
"7";"DIODE_0805";"";"5"
"8";"FUSE F1206A2R00FWTR\500";"AVX";"1"
"9";"HDR-1x2";"";"4"
"10";"JST-PH 2pin_SMT";"";"1"
"11";"HDR-1x3";"";"1"
"12";"105133-0001";"Molex";"1"
"13";"HDR-1x4";"";"1"
"14";"HDR-1x12";"";"2"
"15";"HDRF-1x5";"";"1"
"16";"RES";"";"3"
"17";"RES_0805";"";"22"
"18";"B3U-1000P";"OMRON";"1"
"19";"MCP73871T-2CCI/ML";"Microchip";"1"
"20";"";"Diodes incorporated";"1"
"21";"S6AE101A0DGNAB000";"";"1"
"22";"Grove_4pin_I2C";"";"1"
"23";"Grove_4pin_SPI";"";"1"
"24";"Grove_4pin_Analog";"";"1"
"25";"Grove_4pin_UART";"";"1"
"26";"Grove_4pin_Digital";"";"1"
"27";"RN2903";"Microchip";"1"
"28";"A-1JB";"Amphenol";"1"
